G.U.N.T. Geraetebau GmbH
ET850

1/24/2018

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:00:07 PM.39	59	14	27	40	135	135	8.20	239	5.4	2.95	0.516	0
1/24/2018 4:00:06 PM.88	59	13	27	40	135	135	8.16	241	5.4	2.95	0.517	0
1/24/2018 4:00:06 PM.39	59	14	27	40	135	135	8.19	238	5.4	2.95	0.516	1
1/24/2018 4:00:05 PM.89	59	14	27	40	135	135	8.19	239	5.4	2.96	0.517	0
1/24/2018 4:00:05 PM.38	59	14	27	40	135	135	8.19	237	5.4	2.95	0.514	0
1/24/2018 4:00:04 PM.88	59	14	27	40	135	135	8.16	236	5.3	2.96	0.516	0
1/24/2018 4:00:04 PM.38	59	13	27	40	135	135	8.16	233	5.4	2.96	0.516	0
1/24/2018 4:00:03 PM.88	59	14	27	40	135	135	8.14	235	5.4	2.96	0.516	0
1/24/2018 4:00:03 PM.38	59	14	27	40	135	135	8.16	233	5.4	2.96	0.514	0
1/24/2018 4:00:02 PM.88	59	14	27	40	135	135	8.25	233	5.4	2.96	0.514	0
1/24/2018 4:00:02 PM.39	59	14	27	40	135	135	8.20	233	5.4	2.97	0.514	0
1/24/2018 4:00:01 PM.88	59	14	27	40	134	135	8.09	234	5.4	2.97	0.515	0
1/24/2018 4:00:01 PM.38	59	13	27	40	135	135	8.13	234	5.4	2.95	0.514	0
1/24/2018 4:00:00 PM.89	59	13	27	40	135	135	8.33	233	5.4	2.95	0.517	0
1/24/2018 4:00:00 PM.39	59	14	27	40	135	135	8.20	232	5.4	2.95	0.517	0
1/24/2018 3:59:59 PM.88	59	14	27	40	135	135	8.23	231	5.4	2.95	0.517	0
1/24/2018 3:59:59 PM.39	59	14	27	39	135	135	8.17	228	5.4	2.95	0.518	0
1/24/2018 3:59:58 PM.89	59	14	27	40	135	135	8.17	229	5.4	2.97	0.516	0
1/24/2018 3:59:58 PM.39	59	14	27	40	134	135	8.26	231	5.4	2.97	0.516	0
1/24/2018 3:59:57 PM.88	59	14	27	40	135	135	8.16	233	5.4	2.95	0.516	0
1/24/2018 3:59:57 PM.38	59	14	27	40	135	135	8.22	233	5.4	2.98	0.514	1
1/24/2018 3:59:56 PM.88	59	13	27	39	135	135	8.25	236	5.4	2.96	0.515	0
1/24/2018 3:59:56 PM.39	59	13	26	40	134	135	8.23	236	5.3	2.95	0.517	0
1/24/2018 3:59:55 PM.89	59	14	27	40	135	135	8.26	233	5.4	2.98	0.520	0
1/24/2018 3:59:55 PM.38	59	14	27	39	135	135	8.19	236	5.4	2.97	0.516	0
1/24/2018 3:59:54 PM.88	59	14	26	40	135	135	8.03	236	5.4	2.96	0.514	0
1/24/2018 3:59:54 PM.39	59	14	27	39	135	135	8.26	239	5.4	2.96	0.514	0
1/24/2018 3:59:53 PM.88	59	14	27	40	135	135	8.16	241	5.4	2.96	0.514	0
1/24/2018 3:59:53 PM.38	59	14	27	39	135	135	8.33	238	5.3	2.96	0.514	0
1/24/2018 3:59:52 PM.89	59	14	27	40	135	135	8.22	241	5.3	2.95	0.515	0
1/24/2018 3:59:52 PM.38	59	13	27	39	135	135	8.20	240	5.3	2.96	0.519	0
1/24/2018 3:59:51 PM.88	60	13	27	40	135	135	8.28	234	5.3	2.97	0.514	0
1/24/2018 3:59:51 PM.38	59	14	27	40	135	135	8.23	236	5.3	2.98	0.516	0
1/24/2018 3:59:50 PM.88	59	13	27	40	135	135	8.17	235	5.3	2.98	0.517	0
1/24/2018 3:59:50 PM.38	59	14	27	40	135	135	8.22	233	5.4	2.97	0.514	0
1/24/2018 3:59:49 PM.88	59	14	27	40	135	135	8.32	232	5.3	2.95	0.516	0
1/24/2018 3:59:49 PM.38	60	13	27	39	135	135	8.19	231	5.4	2.96	0.516	0
1/24/2018 3:59:48 PM.88	59	14	27	40	135	135	8.31	234	5.4	2.95	0.514	0
1/24/2018 3:59:48 PM.38	59	14	27	39	135	135	8.17	236	5.4	2.95	0.518	0
1/24/2018 3:59:47 PM.89	60	13	27	40	135	135	8.25	238	5.4	2.95	0.518	0
1/24/2018 3:59:47 PM.38	60	13	27	40	135	135	8.13	235	5.4	2.95	0.517	0
1/24/2018 3:59:46 PM.89	59	13	27	40	135	135	8.14	231	5.4	2.95	0.517	0
1/24/2018 3:59:46 PM.38	59	14	27	40	135	135	8.20	226	5.4	2.95	0.516	0
1/24/2018 3:59:45 PM.88	59	13	27	40	135	135	8.19	226	5.4	2.95	0.517	0
