G.U.N.T. Geraetebau GmbH
ET850

1/24/2018 NKD 

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:37:48 PM.37	59	14	31	40	143	189	7.25	193	5.7	3.00	0.470	0
1/24/2018 4:37:47 PM.87	59	13	31	40	143	189	7.27	193	5.7	3.01	0.470	0
1/24/2018 4:37:47 PM.37	59	14	31	40	143	189	7.25	197	5.8	3.01	0.472	0
1/24/2018 4:37:46 PM.87	59	14	31	40	143	189	7.25	195	5.7	3.02	0.473	0
1/24/2018 4:37:46 PM.37	59	14	31	40	143	189	7.19	197	5.7	3.02	0.470	0
1/24/2018 4:37:45 PM.87	59	14	31	40	143	189	7.24	194	5.7	3.03	0.471	0
1/24/2018 4:37:45 PM.37	59	14	31	40	143	189	7.27	194	5.8	3.04	0.470	0
1/24/2018 4:37:44 PM.87	59	14	31	40	143	189	7.22	195	5.7	3.04	0.470	0
1/24/2018 4:37:44 PM.37	59	14	31	40	143	189	7.28	195	5.7	3.05	0.470	0
1/24/2018 4:37:43 PM.87	59	14	31	40	143	189	7.25	193	5.7	3.03	0.470	0
1/24/2018 4:37:43 PM.37	59	14	31	40	142	189	7.18	192	5.8	3.04	0.469	0
1/24/2018 4:37:42 PM.87	59	14	31	40	143	188	7.18	195	5.7	3.04	0.467	0
1/24/2018 4:37:42 PM.37	59	13	31	40	143	189	7.21	195	5.8	3.02	0.467	0
1/24/2018 4:37:41 PM.87	59	14	31	40	143	188	7.25	195	5.7	3.03	0.469	0
1/24/2018 4:37:41 PM.37	59	14	31	40	143	188	7.16	195	5.8	3.02	0.468	0
1/24/2018 4:37:40 PM.87	59	14	31	40	143	188	7.18	193	5.7	3.01	0.468	0
1/24/2018 4:37:40 PM.37	59	14	31	40	143	188	7.12	197	5.7	3.00	0.470	0
1/24/2018 4:37:39 PM.87	59	14	31	40	143	188	7.22	196	5.7	3.00	0.470	0
1/24/2018 4:37:39 PM.37	59	14	31	40	143	188	7.27	194	5.7	3.01	0.473	0
1/24/2018 4:37:38 PM.87	59	13	32	40	143	188	7.29	200	5.7	3.02	0.473	0
1/24/2018 4:37:38 PM.37	59	14	31	40	143	188	7.21	199	5.8	3.00	0.472	0
1/24/2018 4:37:37 PM.87	59	14	31	40	143	188	7.31	200	5.8	3.01	0.472	0
